我和我的祖国	殷秀梅
坚守	金婷婷
我的九寨	泽尓丹
儿想回家看看娘	欧阳文宸
三德歌	谭晶
儿女情长	
梦圆	谭晶
我用胡琴和你说话	
祝福祖国	汤灿
梅花吟	陈俊华
孝敬爹和妈	大平
胡琴说	音乐剧茉莉花选曲
美丽遂宁我的家	敬兴全
国旗升起	雷佳
云在飞	云飞
美丽中国	于文华
天边	降映卓玛
狼图腾	汤非
思源	常思思
有一个美丽的传说	柳石明
东方为什么怎么红	阎维文
你来了	吴碧霞
桃花谣	
歌唱兰博园	
中国的希望	
今天是你的生日	女声独唱
又唱浏阳河	宋祖英
美丽大中国	张美晨
和谐祖国美好家园	蒋大为
骆驼草	
柔情水乡	霓裳
我的快乐就是想你	牛国长
和谐阳光	钟丽燕
好儿好女好江山	雷佳
孝敬父母	刘一祯
农民老大哥	朱之文
美丽家园	李晖
祝你健康	生死依托片尾曲
想起老妈妈	于文华
最美	刘和刚
梦中的额吉	乌达木
家乡的小河	朱永飞
又回草原	朱永飞
我爱桃花我爱家	
毛主席的话儿记心上	地道战插曲
我是一条小河	郭欢
祖国万岁	韩磊 雷佳
共筑中国梦	
祖国吉祥	董文华
热血颂	郁钧剑 关贵敏 廖昌永
疼爱妈妈	耿为
普洱茶马古道情歌	阎维文谭晶
呼伦贝尔大草原	
祖国万岁	戴玉强 王资懿
梅花泪	文希
沙漠骆驼	贾永久
我们的中国梦	雷佳
站在草原望北京	乌兰图雅
英雄上马的地方	豪图
这天这地这人	家大业大主题曲
黄河大合唱-保卫黄河	张真
吉祥欢歌	泽旺多吉
不忘初心	陈思思
中国梦	
永远的赞歌	云飞
一起幸福	王丽达 吕继宏
哥哥不来花不开	王庆爽
好人就在身边	谭晶
天耀中华	
老夫老妻	
领航新时代	王丽达 
为你等待	次仁央宗
浪漫夕阳	醉美
银色毡房	玛希
旗帜高扬领航程	宋祖英
幸福永远	陈永峰
家有父母好幸福	
父母在，家就在	 吕继宏
美丽的松山湖	王丽达
烛光泛舟	张津涤
三月桃花心中开	龚爽
有娘叫，最幸福	
我们的中国梦	
父亲对我说	阎维文
我的祝福你听见了吗	
又见山里红	
草原上的飘带	追梦人
永远兄弟情	若思
中国梦	陈思思
祖国不会忘记	
相逢是朋友	张也
离别草原	云飞
好山好水好梦 	蔚金莹
国家	
中华好家风	刘和刚
守望相助	云飞 图雅娜莎
说中国	蒋大为
祖国，慈祥的母亲	
光荣与梦想	
江南小街	朱妍
孝和中国	
祖国颂	张也
儿女的好榜样	
秋水伊人	朱妍
中国之最	徐子崴
敖包再相会	乌兰托娅 蒙克
当你的秀发拂过我的钢枪	阎维文
黄四姐	陈娟
草原情哥哥	乌兰图雅
我的新娘在草原	蒙联合
夕阳红	
走向复兴	
中国喜洋洋	源艺君 乔建军
我们走在大路上	
中国中国鲜红的太阳永不落	
草原放歌	齐峰
公民道德歌	
梦圆	彭丽媛
祖国春光好	彭丽媛
心中的草原	乌兰图雅
妈妈	刘和刚
又唱为了谁	李晏宁 金波
马背上的思念	刘和刚
兄弟	
祖国谢谢你 	
回声嘹亮	
秦淮幽梦	胡梅
太阳最红，毛主席最亲	
红尘情歌	高安 黑鸭子
小燕子	鞠萍
心相映手牵手	杨钰莹
康定情歌	
信天游	
学习雷锋好榜样	
映山红	电影闪闪的红星插曲
永远是朋友	
遇上你是我的缘	史金兰泽
月亮代表我的心	
月亮之上	凤凰传奇
月亮走，我也走	
在那遥远的地方	
长城长	电视专题片磐石主题歌
真的好想你	周冰倩
真是乐死人	
只有山歌敬亲人	故事影片刘三姐插曲
祝妈妈长寿	阎维文
走进新时代	张也
阿里山的姑娘	故事影片阿里山风云主题歌
爱的奉献	电视系列片人与人插曲
敖包相会	耿莲凤张振富
北京欢迎您	
冰糖葫芦	冯小泉
采槟榔	吴秀兰
离家的孩子	陈星 胡力
南泥湾	郭兰英
满工对唱	戏曲片天仙配选曲
祝你平安	孙悦
家和万事兴	
父亲	刘和刚
小曲好唱口难开	洪湖赤卫队选曲
洪湖水浪打浪	洪湖赤卫队选曲
长相依	刘丽丽
龙船调	
天不下雨天不刮风天上有太阳	
唱支山歌给党听	
把一切献给党	
真的好想你	周冰倩
姑娘我爱你	索朗扎西
卓玛	亚东
世上只有妈妈好	谢小鱼
偏偏喜欢你	陈百强
草原夜色美	
妈妈的笑脸	容中尔甲
我要去西藏	乌兰托娅 
天边的骆驼	
毛主席的光辉	才旦卓玛
烛光里的妈妈	范琳琳
月亮花儿开	宋祖英
太阳出来喜洋洋	
毛主席派来工作队	
漂亮姑娘就要嫁人啦	
神奇的九寨	
千送红军	
十五的月亮	
谁不说俺家乡好	红日插曲
说句心里话	
送别	怒湖插曲
天路	
甜蜜蜜	邓丽君
铁窗泪	迟志强
为了谁	祖海 佟铁鑫
我为祖国献石油	
草原上升起不落的太阳	
常回家看看	
达坂城的姑娘	
打靶归来	
懂你	
杜十娘	李晓娜
儿行千里	
父亲	崔京浩
歌唱二郎山	
